vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
JTDEPRAE1LJ069634,2020,Toyota,Corolla,LE ,20998,57901,Automatic,FWD,Gas,30,38,Super White,Cream, Roswell, GA
1GCVKSECXJZ231869,2018,Chevrolet,Silverado,LTZ Double Cab Standard Box ,31591,58874,Automatic,4WD,Gas,16,22,Silver Ice Metallic,Jet Black, Michigan Center, MI
2G1FB1E33F9155971,2015,Chevrolet,Camaro,LS with 2LS Coupe,17792,91220,Automatic,RWD,Gas,19,30,Ashen Gray Metallic,Gray, Salt Lake City, UT
2C3CDXBG3EH269041,2014,Dodge,Charger,SE ,10870,132790,Automatic,RWD,Gas,18,27,Billet Silver Metallic Clearcoat,Black, Buena Park, CA
3N1AB8CV7LY255245,2020,Nissan,Sentra,SV ,18883,45078,Automatic,FWD,Gas,29,39,Gun Metallic,Charcoal, Torrance, CA
1N4AA6APXHC420221,2017,Nissan,Maxima,SL,23998,62155,Automatic,FWD,Gas,21,30,Super Black,Charcoal, Norcross, GA
WMWZC3C56GWT09385,2016,MINI,Countryman,S ,16998,59003,Automatic,FWD,Gas,26,32,Gray,Carbon Black, Fort Myers, FL
1C4AJWBG3DL643347,2013,Jeep,Wrangler,Sahara,21789,97395,Automatic,4WD,Gas,17,21,Billet Silver Metallic,Black Interior, Woodway, TX
YV4102DKXM1744715,2021,Volvo,XC60,T5 Momentum ,35998,20211,Automatic,FWD,Gas,22,29,Onyx Black Metallic,Black, Boynton Beach, FL
ZACCJBBB3HPF39903,2017,Jeep,Renegade,Altitude ,17999,68193,Automatic,4WD,Gas,24,31,Colorado Red,Black, Lindon, UT
1FMCU9H60LUA65230,2020,Ford,Escape,SEL ,26500,29444,Automatic,AWD,Gas,26,31,Ingot Silver Metallic,Ebony, Chambersburg, PA
1GCPYFED4MZ383903,2021,Chevrolet,Silverado,LT Trail Boss Crew Cab Short Bed ,52350,17359,Automatic,4WD,Gas,16,21,Summit White,Jet Black, South Pittsburg, TN
3N1AB8CV9LY245719,2020,Nissan,Sentra,SV ,18400,31510,Automatic,FWD,Gas,29,39,Gun Metallic,Tan, Lexington, KY
1C4BJWEG7DL704117,2013,Jeep,Wrangler,Unlimited Sahara,23998,115697,Automatic,4WD,Gas,16,21,Bright White,Black Interior, Ontario, CA
5YFEPMAE0MP174861,2021,Toyota,Corolla,LE ,19998,25123,Automatic,FWD,Gas,30,38,Super White,Black, Pinellas Park, FL
1FTWW31P06EB79979,2006,Ford,Super,"Amarillo Crew Cab 156"" ",11950,149030,Automatic,4WD,Gas,20,27,Steel Blue Metallic,Charcoal Black, Seekonk, MA
1C4RJFBGXKC773321,2019,Jeep,Grand,Limited X ,33998,49425,Automatic,4WD,Gas,18,25,Bright White Clearcoat,Black, Inglewood, CA
1C4HJXFN4LW262438,2020,Jeep,Wrangler,Unlimited Recon,49600,22163,Automatic,4WD,Gas,21,22,Sting-Gray Clearcoat,Black, Sandy, UT
3MW5R1J03L8B04036,2020,BMW,3,330i ,27592,58566,Automatic,RWD,Gas,26,36,Jet Black,Black, Gainesville, FL
5N1DR3CD1NC253031,2022,Nissan,Pathfinder,SL ,39859,29580,Automatic,4WD,Gas,21,27,Super Black,Charcoal, South Jordan, UT
5LM5J7WC6MGL09457,2021,Lincoln,Aviator,Reserve ,54900,10582,Automatic,RWD,Gas,18,26,Infinite Black,Sandstone, Glendale, CA
5N1AT3BA2MC696654,2021,Nissan,Rogue,SV ,22191,87339,Automatic,FWD,Gas,26,34,Super Black,Charcoal, Naples, FL
5N1AN0NW9AC500656,2010,Nissan,Xterra,S  ,4997,208797,Automatic,4WD,Gas,15,20,Silver Lightning Metallic,Gray, Bountiful, UT
5YFBURHE8FP229073,2015,Toyota,Corolla,S Plus ,8995,201110,Manual,FWD,Gas,28,37,White,Black, Citrus Heights, CA
3GCUKSEJ7GG149715,2016,Chevrolet,Silverado,Z71 LTZ Crew Cab Short Box ,17800,275575,Automatic,4WD,Gas,15,21,Black,Jet Black, Fairfield, OH
W1KWF8DB6LR575695,2020,Mercedes-Benz,C-Class,C 300 Sedan ,31998,31998,Automatic,RWD,Gas,24,35,Designo Diamond White Metallic,Black, Buena Park, CA
1FTFW1EF8DKD32418,2013,Ford,F-150,XLT SuperCrew 5.5' Box ,18999,116781,Automatic,4WD,Gas,14,19,Oxford White,Steel Gray, Inglewood, CA
7SAYGDEF1NF400535,2022,Tesla,Model,Performance ,51975,19229,Automatic,AWD,Electric,303,,Midnight Silver Metallic,Black, South Jordan, UT
5XXG64J22NG120912,2022,Kia,K5,GT-Line ,30475,12858,Automatic,AWD,Gas,25,33,Wolf Gray,Black, North Salt Lake, UT
3GCUYEELXNG211400,2022,Chevrolet,Silverado,RST Crew Cab Standard Bed ,52998,12324,Automatic,4WD,Gas,15,20,Northsky Blue Metallic,Jet Black, Sandy, UT
5YFBURHE7GP442288,2016,Toyota,Corolla,LE Plus ,15995,42858,Automatic,FWD,Gas,29,38,Slate Metallic,Unknown, Bountiful, UT
5YFEPRAE4LP099268,2020,Toyota,Corolla,LE ,17898,40965,Automatic,FWD,Gas,30,38,Blueprint,Light Gray, Orlando, FL
KL79MRSL7MB172363,2021,Chevrolet,Trailblazer,LT ,25540,30225,Automatic,AWD,Gas,26,30,Mosaic Black Metallic,Jet Black, Bountiful, UT
5NPDH4AEXDH240645,2013,Hyundai,Elantra,GLS Sedan ,7757,136394,Automatic,FWD,Gas,28,38,Indigo Night,Beige, Los Angeles, CA
1N4AA6CV4NC503408,2022,Nissan,Maxima,SV,21997,29612,Automatic,FWD,Gas,20,30,Super Black,Charcoal, Orlando, FL
3FMCR9B69MRA49045,2021,Ford,Bronco,Big Bend,31389,23384,Automatic,4WD,Gas,25,28,Alto Blue Metallic Tinted Clearcoat,Ebony, Online Retailer,
KMUMADTBXNU050565,2022,Genesis,GV70,2.5T,40990,46360,Automatic,AWD,Gas,22,28,Savile Silver,Brown, Fort Lauderdale, FL
JTJAARBZ5L5000968,2020,Lexus,NX,NX 300 ,30288,39520,Automatic,FWD,Gas,22,28,Eminent White Pearl,Black/Bronze, Corona, CA
5YJXCDE46JF127315,2018,Tesla,Model,P100D,64495,27825,Automatic,AWD,Electric,289,,Silver,Black, Inglewood, CA
4T1G11AK9NU057407,2022,Toyota,Camry,SE  ,30032,23141,Automatic,FWD,Gas,28,39,White,Ash, Online Retailer,
JN1AZ4EH9GM932154,2016,Nissan,370Z,NISMO Coupe ,35470,39921,Automatic,RWD,Gas,19,26,Magnetic Black,Red, Denver, CO
WBA7U2C14MCF75645,2021,BMW,7,ALPINA B7 xDrive,84888,36621,Automatic,AWD,Gas,17,24,Black Sapphire Metallic,Black, Santa Monica, CA
5NMZT3LB8JH069758,2018,Hyundai,Santa,Base 2.4L ,14175,113393,Automatic,FWD,Gas,21,27,Mineral Gray,Gray, Corpus Christi, TX
KNDJT2A60D7598047,2013,Kia,Soul,+ ,8994,123654,Automatic,FWD,Gas,23,28,Titanium Pearl Metallic,Black Seat Trim, Ogden, UT
JM3KFBDM6M0458087,2021,Mazda,CX-5,Grand Touring ,31908,21001,Automatic,AWD,Gas,24,30,Snowflake White Pearl Mica,Black, Everett, WA
3N1AB8CV7LY243421,2020,Nissan,Sentra,SV ,20998,57950,Automatic,FWD,Gas,29,39,Fresh Powder,Charcoal, Saint Louis, MO
1C6RRFCG1LN264982,2020,Ram,1500,"Tradesman Quad Cab 6'4"" Box ",27999,82023,Automatic,4WD,Gas,19,24,Bright White Clearcoat,Black, Round Rock, TX
1FMCU0F70KUB60506,2019,Ford,Escape,S ,14950,91374,Automatic,FWD,Gas,21,29,Oxford White,Charcoal Black, Albuquerque, NM
1N4BL4DV6MN333170,2021,Nissan,Altima,2.5 SV ,23507,39235,Automatic,FWD,Gas,27,37,Super Black,Charcoal, Online Retailer,
5TFDW5F16HX670698,2017,Toyota,Tundra,SR5 CrewMax 5.5' Bed Flex Fuel 5.7L V8 ,22799,184284,Automatic,4WD,Gas,13,17,Gray,Black, Longmont, CO
W1N0G8EB4NG053473,2022,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,50975,4404,Automatic,AWD,Gas,21,28,Lunar Blue Metallic,Silk Beige/Black, Union, NJ
2HKRW2H57LH635001,2020,Honda,CR-V,EX ,27500,21820,Automatic,AWD,Gas,27,32,Crystal Black Pearl,Black, Cedar Park, TX
KNDPM3AC3L7821084,2020,Kia,Sportage,LX ,22057,17069,Automatic,FWD,Gas,23,30,Hyper Red,Gray, Miami, FL
1GCPYDEK0KZ347495,2019,Chevrolet,Silverado,LT Crew Cab Standard Box ,31995,87449,Automatic,4WD,Gas,19,22,Silver Ice Metallic,Unknown, Salem, OR
19XFB2F54EE030376,2014,Honda,Civic,LX Sedan ,10900,106962,Automatic,FWD,Gas,30,39,Crystal Black Pearl,Black, Edgewood, MD
JF2GTANC6KH203205,2019,Subaru,Crosstrek,2.0i Limited ,27370,42642,Automatic,AWD,Gas,27,33,Dark Gray Metallic,Black, Littleton, CO
2HKRM3H74GH502232,2016,Honda,CR-V,EX-L ,19977,111459,Automatic,FWD,Gas,26,33,Gray,Unknown, Salt Lake City, UT
1GNSKPKD5MR371174,2021,Chevrolet,Tahoe,Z71 ,65500,26802,Automatic,4WD,Gas,16,20,Satin Steel Metallic,Jet Black, San Antonio, TX
