vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
1C6SRFJT2KN504864,2019,Ram,1500,"Laramie Crew Cab 5'7"" Box ",30000,130542,Automatic,4WD,Gas,19,24,Diamond Black Crystal Pearlcoat,Black, Bountiful, UT
1C4HJXDN8MW592829,2021,Jeep,Wrangler,Unlimited Sport S,34151,44413,Automatic,4WD,Gas,17,23,Bright White Clearcoat,Black, Bountiful, UT
1C4BJWEG1HL625113,2017,Jeep,Wrangler,Unlimited Sahara,29973,58883,Automatic,4WD,Gas,16,21,Black Clearcoat,Black, Bountiful, UT
1FTFW1E56MKD49080,2021,Ford,F-150,XLT SuperCrew 5.5' Box ,46030,25390,Automatic,4WD,Gas,19,22,Oxford White,Black W/Medium Dark Slate, Bountiful, UT
1C4PJMLB6LD652361,2020,Jeep,Cherokee,Latitude Plus ,23740,61025,Automatic,4WD,Gas,21,29,Billet Silver Metallic Clearcoat,Black, Salt Lake City, UT
2GNAXTEV8M6141005,2021,Chevrolet,Equinox,LT with 2FL ,22497,39525,Automatic,AWD,Gas,25,30,Summit White,Jet Black, North Salt Lake, UT
3GKALXEV0NL195900,2022,GMC,Terrain,Denali ,31700,12410,Automatic,AWD,Gas,25,28,Ebony Twilight Metallic,Jet Black, Woods Cross, UT
1C4BJWEGXGL217126,2016,Jeep,Wrangler,Unlimited 75th Anniversary,27995,65828,Automatic,4WD,Gas,16,21,Black Clearcoat,Black, Bountiful, UT
1FMCU9H65MUA51048,2021,Ford,Escape,SEL ,22994,43630,Automatic,AWD,Gas,23,31,Antimatter Blue Metallic,Ebony, Bountiful, UT
2GNAXYEX5L6231497,2020,Chevrolet,Equinox,Premier with 2LZ ,29500,34642,Automatic,AWD,Gas,22,28,Mosaic Black Metallic,Jet Black, Woods Cross, UT
1GTG6DEN8H1247992,2017,GMC,Canyon,SLT Crew Cab Standard Box ,33976,86380,Automatic,4WD,Gas,17,24,Summit White,Jet Black, Salt Lake City, UT
3GNAXYEXXKS564911,2019,Chevrolet,Equinox,Premier with 2LZ ,21433,75239,Automatic,AWD,Gas,22,28,Summit White,Jet Black, Bountiful, UT
3GNAXUEV6LL116491,2020,Chevrolet,Equinox,LT with 1LT ,20622,53137,Automatic,AWD,Gas,25,30,Mosaic Black Metallic,Jet Black, Bountiful, UT
3C4NJDDB0HT597882,2017,Jeep,Compass,2017.5 Trailhawk ,17554,72829,Automatic,4WD,Gas,22,30,Diamond Black Crystal Pearlcoat,Ruby Red/Black, Bountiful, UT
3FA6P0H74FR294296,2015,Ford,Fusion,SE ,10658,119437,Automatic,FWD,Gas,22,34,Magnetic,Charcoal Black, Salt Lake City, UT
2GKFLXEKXF6349403,2015,GMC,Terrain,SLT-1 ,15000,80673,Automatic,AWD,Gas,20,29,Summit White,Jet Black, Bountiful, UT
1GNSKHKC1LR120552,2020,Chevrolet,Suburban,LT ,42976,46115,Automatic,4WD,Gas,14,21,Satin Steel Metallic,Jet Black, Salt Lake City, UT
