vin,year,make,model,trim,price,mileage,transmission,drivetrain,fuel_type,city_mpg,hwy_mpg,exterior_color,interior_color,city,state
KMHLM4AG2MU067312,2021,Hyundai,Elantra,SEL IVT (SULEV),23997,34895,Automatic,FWD,Gas,31,41,Fluid Metal,Medium Gray, Mission Hills, CA
JTDEAMDE8N3010331,2022,Toyota,Corolla,Hybrid LE ,28995,5948,Automatic,FWD,Hybrid,53,52,White,Light Gray, Valencia, CA
YV4102PK3L1603351,2020,Volvo,XC90,T5 Momentum 7 Passenger ,38599,27964,Automatic,AWD,Gas,20,27,Gray,Charcoal, Santa Monica, CA
5XXGU4L18LG422759,2020,Kia,Optima,EX Premium DCT,23499,49515,Automatic,FWD,Gas,27,37,Snow White Pearl,Black, Azusa, CA
1N4BL4BV5LC173456,2020,Nissan,Altima,2.5 S ,22581,40037,Automatic,FWD,Gas,28,39,Glacier White,Charcoal, North Hollywood, CA
JTJDARBZ0M2183048,2021,Lexus,NX,NX 300 ,34689,36112,Automatic,FWD,Gas,22,28,Caviar,Black, Cerritos, CA
KMHC65LC1KU179560,2019,Hyundai,Ioniq,Hybrid Blue,14500,106922,Automatic,FWD,Hybrid,57,59,Intense Blue Metallic,Charcoal Black, Wilmington, CA
KNDPRCA64M7907789,2021,Kia,Sportage,SX Turbo ,29998,17259,Automatic,AWD,Gas,19,24,Snow White Pearl,Black, Palm Desert, CA
W1K6G7GB3MA038916,2021,Mercedes-Benz,S-Class,S 580 Sedan 4MATIC,94680,8539,Automatic,AWD,Gas,17,25,Designo Diamond White,Black, Buena Park, CA
W1N0G8EBXNG082301,2022,Mercedes-Benz,GLC,GLC 300 SUV 4MATIC,41999,5505,Automatic,AWD,Gas,21,28,Black,Unknown, Valencia, CA
5J8TC1H36ML008893,2021,Acura,RDX,Standard ,33988,29264,Automatic,FWD,Gas,22,28,Platinum White Pearl,Beige, Torrance, CA
1HGCV1F95JA030442,2018,Honda,Accord,Touring 1.5T ,27317,35382,Automatic,FWD,Gas,29,35,Crystal Black Pearl,Black, Glendale, CA
KNAFK4A61G5606450,2016,Kia,Forte,LX Sedan ,11995,91672,Automatic,FWD,Gas,26,39,Clear White,Black, Sunland, CA
JTDKN3DUXB0306733,2011,Toyota,Prius,Two,12995,89160,Automatic,FWD,Hybrid,51,48,Winter Gray Metallic,Dark Gray, Sherman Oaks, CA
2HGFC2F80LH597078,2020,Honda,Civic,Sport Sedan ,24995,26451,Automatic,FWD,Gas,30,38,Crystal Black Pearl,Black, Valencia, CA
19XFC2F8XLE214659,2020,Honda,Civic,Sport Sedan ,23950,21423,Automatic,FWD,Gas,30,38,Gray,Black, Pomona, CA
JTERU5JR0N6043582,2022,Toyota,4Runner,TRD Off Road Premium ,49700,29411,Automatic,4WD,Gas,16,19,Classic Silver Metallic,Black/Graphite, Online Retailer,
2HGFE1F75PH312621,2023,Honda,Civic,EX Sedan ,29249,2222,Automatic,FWD,Gas,33,42,Crystal Black Pearl,Black, Van Nuys, CA
W1KZF8DBXMA906842,2021,Mercedes-Benz,E-Class,E 350 Sedan ,45476,34286,Automatic,RWD,Gas,22,31,Graphite Grey Metallic,Black, Van Nuys, CA
KNDJ23AU8L7085263,2020,Kia,Soul,LX IVT,20998,8737,Automatic,FWD,Gas,27,33,Inferno Red,Black, Tyler, TX
W1KWF8DB5MR644815,2021,Mercedes-Benz,C-Class,C 300 Sedan ,35998,19765,Automatic,RWD,Gas,23,35,Designo Diamond White Metallic,Black, Inglewood, CA
2HGFC2F84LH588867,2020,Honda,Civic,Sport Sedan ,24998,35751,Automatic,FWD,Gas,30,38,Gray,Black, West Covina, CA
JTNKHMBX1L1077120,2020,Toyota,C-HR,XLE ,23889,62573,Automatic,FWD,Gas,27,31,Black Sand Pearl,Unknown, Cerritos, CA
KNADM4A36F6503726,2015,Kia,Rio,LX Sedan ,7999,136403,Automatic,FWD,Gas,27,37,Silver,Black, North Hills, CA
KNDCE3LC3K5316357,2019,Kia,Niro,Hybrid Touring,27374,10392,Automatic,FWD,Hybrid,46,40,Aurora Black Pearl,Charcoal, Long Beach, CA
19XFC2F85ME201531,2021,Honda,Civic,Sport Sedan ,22999,23243,Automatic,FWD,Gas,29,37,Crystal Black Pearl,Black, Los Angeles, CA
5UXZV4C53D0B19482,2013,BMW,X5,xDrive35i Sport Activity ,16995,71550,Automatic,AWD,Gas,16,23,Black,Black, El Monte, CA
5TFRW5F15GX193783,2016,Toyota,Tundra,SR5 Double Cab 6.5' Bed Flex Fuel 5.7L V8 ,28994,89614,Automatic,RWD,Gas,13,18,Black,Sand Beige, Montebello, CA
JTJGZKCA3J2002364,2018,Lexus,RX,RX 350L Luxury ,34998,47002,Automatic,FWD,Gas,19,26,Atomic Silver,Black, Ontario, CA
WMWXP7C54K2C62721,2019,MINI,Hardtop,S Hardtop 2-Door,23499,17724,Manual,FWD,Gas,23,32,Midnight Black Metallic,Carbon Black, Los Angeles, CA
5XYZU3LB7GG337070,2016,Hyundai,Santa,Base 2.4L ,17595,50165,Automatic,FWD,Gas,20,27,Platinum Graphite,Beige, Rowland Heights, CA
KMHD04LB9KU815729,2019,Hyundai,Elantra,Sport 1.6T ,20949,43799,Automatic,FWD,Gas,26,33,Symphony Silver,Black, El Monte, CA
